user_id,username,age,user_level,log_date,habit_category,difficulty,completed,streak_length,xp_earned,has_accountability,self_rating,notes,day_of_week,day_name,month,is_weekend,xp_efficiency,streak_tier,rolling_completion_7d,week_num
USR_00001,user_sam419,33.0,3,2022-07-02,sleep,hard,1,8.0,42.1,0.0,8.0,skipped yesterday,5,Saturday,7,1,1.0,monthly,1.0,26
USR_00001,user_sam419,33.0,3,2022-08-21,meditation,medium,0,17.0,0.0,1.0,3.0,,6,Sunday,8,1,0.0,monthly,0.5,33
USR_00001,user_sam419,33.0,3,2022-08-24,fitness,hard,1,1.0,46.36,0.0,4.0,new record!,2,Wednesday,8,0,1.0,weekly,0.6666666666666666,34
USR_00001,user_sam419,33.0,3,2022-08-27,nutrition,medium,0,7.0,0.0,1.0,1.0,felt great,5,Saturday,8,1,0.0,weekly,0.5,34
USR_00001,user_sam419,33.0,3,2022-08-30,fitness,easy,0,30.0,0.0,0.0,1.0,,1,Tuesday,8,0,0.0,monthly,0.4,35
USR_00001,user_sam419,33.0,3,2022-09-02,sleep,easy,1,17.0,12.74,0.0,10.0,,4,Friday,9,0,1.0,monthly,0.5,35
USR_00001,user_sam419,33.0,3,2022-09-05,nutrition,easy,1,3.0,8.16,1.0,2.0,skipped yesterday,0,Monday,9,0,0.8160000000000001,weekly,0.5714285714285714,36
USR_00001,user_sam419,33.0,3,2022-09-22,study,medium,1,2.0,19.32,1.0,1.0,,3,Thursday,9,0,0.966,weekly,0.5714285714285714,38
USR_00001,user_sam419,33.0,3,2022-10-19,work,medium,0,18.0,0.0,0.0,6.0,,2,Wednesday,10,0,0.0,monthly,0.5714285714285714,42
USR_00001,user_sam419,33.0,3,2022-11-06,reading,medium,1,1.0,20.24,1.0,6.0,,6,Sunday,11,1,1.0,weekly,0.5714285714285714,44
USR_00001,user_sam419,33.0,3,2022-11-30,study,hard,0,21.0,0.0,1.0,5.0,,2,Wednesday,11,0,0.0,monthly,0.5714285714285714,48
USR_00001,user_sam419,33.0,3,2023-03-27,sleep,medium,0,14.0,0.0,0.0,4.0,,0,Monday,3,0,0.0,monthly,0.5714285714285714,13
USR_00001,user_sam419,33.0,3,2023-05-17,reading,hard,0,4.0,0.0,0.0,6.0,new record!,2,Wednesday,5,0,0.0,weekly,0.42857142857142855,20
USR_00001,user_sam419,33.0,3,2023-06-10,sleep,medium,0,3.0,0.0,0.0,2.0,,5,Saturday,6,1,0.0,weekly,0.2857142857142857,23
USR_00001,user_sam419,33.0,3,2023-09-30,work,easy,0,8.0,0.0,1.0,2.0,,5,Saturday,9,1,0.0,monthly,0.14285714285714285,39
USR_00001,user_sam419,33.0,3,2023-10-23,work,medium,0,10.0,0.0,0.0,10.0,,0,Monday,10,0,0.0,monthly,0.14285714285714285,43
USR_00001,user_sam419,33.0,3,2023-11-07,reading,easy,0,7.0,0.0,1.0,7.0,skipped yesterday,1,Tuesday,11,0,0.0,weekly,0.0,45
USR_00001,user_sam419,33.0,3,2023-12-01,nutrition,hard,1,3.0,36.8,0.0,2.0,easy win,4,Friday,12,0,0.9199999999999999,weekly,0.14285714285714285,48
USR_00002,user_riley4022,30.0,49,2023-05-12,study,trivial,1,32.0,6.13,0.0,9.0,,4,Friday,5,0,1.0,quarterly,1.0,19
USR_00002,user_riley4022,30.0,49,2023-05-30,meditation,easy,1,32.0,9.85,0.0,6.0,,1,Tuesday,5,0,0.985,quarterly,1.0,22
USR_00002,user_riley4022,30.0,49,2023-06-02,reading,easy,1,77.0,5.76,0.0,5.0,,4,Friday,6,0,0.576,quarterly,1.0,22
USR_00002,user_riley4022,30.0,49,2023-06-08,meditation,medium,1,34.0,17.74,0.0,2.0,,3,Thursday,6,0,0.8869999999999999,quarterly,1.0,23
USR_00002,user_riley4022,30.0,49,2023-06-28,social,easy,0,37.0,0.0,1.0,5.0,new record!,2,Wednesday,6,0,0.0,quarterly,0.8,26
USR_00002,user_riley4022,30.0,49,2023-07-01,sleep,hard,1,151.0,47.39,1.0,4.0,,5,Saturday,7,1,1.0,annual,0.8333333333333334,26
USR_00002,user_riley4022,30.0,49,2023-07-06,social,hard,1,30.0,38.65,1.0,4.0,easy win,3,Thursday,7,0,0.9662499999999999,monthly,0.8571428571428571,27
USR_00002,user_riley4022,30.0,49,2023-07-31,reading,hard,1,118.0,42.23,0.0,5.0,,0,Monday,7,0,1.0,annual,0.8571428571428571,31
USR_00002,user_riley4022,30.0,49,2023-08-09,social,medium,1,80.0,21.35,0.0,8.0,,2,Wednesday,8,0,1.0,quarterly,0.8571428571428571,32
USR_00002,user_riley4022,30.0,49,2023-08-22,sleep,easy,1,1.0,6.79,0.0,6.0,,1,Tuesday,8,0,0.679,weekly,0.8571428571428571,34
USR_00002,user_riley4022,30.0,49,2023-08-29,reading,medium,1,6.0,24.87,0.0,3.0,,1,Tuesday,8,0,1.0,weekly,0.8571428571428571,35
USR_00002,user_riley4022,30.0,49,2023-09-24,sleep,easy,0,30.0,0.0,1.0,8.0,,6,Sunday,9,1,0.0,monthly,0.8571428571428571,38
USR_00002,user_riley4022,30.0,49,2023-10-07,social,medium,1,69.0,23.24,0.0,5.0,,5,Saturday,10,1,1.0,quarterly,0.8571428571428571,40
USR_00002,user_riley4022,30.0,49,2023-10-09,sleep,medium,1,216.0,20.04,1.0,2.0,,0,Monday,10,0,1.0,annual,0.8571428571428571,41
USR_00002,user_riley4022,30.0,49,2023-10-20,work,medium,1,100.0,19.7,0.0,5.0,struggled today,4,Friday,10,0,0.985,annual,0.8571428571428571,42
