student_id,week_num,weekly_avg_focus,weekly_avg_sleep,weekly_avg_stress,weekly_avg_mood,weekly_burnout,weekly_goal_rate,days_logged,burnout_trend
STU_0001,1,70.77142857142857,4.944285714285714,7.628571428571428,1.0285714285714287,0.5028571428571429,0.46963202158360623,7,
STU_0001,2,69.92857142857143,4.925714285714285,7.757142857142857,1.0,0.5111428571428572,0.4694601647576398,7,0.00828571428571434
STU_0001,3,69.18571428571428,3.382857142857143,9.442857142857141,1.0,0.6474285714285715,0.43704785844024296,7,0.13628571428571423
STU_0001,4,60.800000000000004,5.217142857142856,8.614285714285714,1.0,0.5271428571428571,0.4605537315428375,7,-0.12028571428571433
STU_0001,5,61.542857142857144,5.354285714285714,7.457142857142857,1.1142857142857143,0.4785714285714286,0.4388257906735756,7,-0.04857142857142854
STU_0001,6,74.54285714285713,4.8428571428571425,8.014285714285714,1.1285714285714286,0.5278571428571428,0.4768998439489471,7,0.04928571428571421
STU_0001,7,81.12857142857142,4.002857142857143,9.742857142857144,1.1285714285714286,0.676,0.374987266637581,7,0.14814285714285724
STU_0001,8,78.62857142857142,3.924285714285714,9.742857142857144,1.0,0.6837142857142856,0.4591408752058913,7,0.0077142857142855625
STU_0001,9,66.65714285714286,4.665714285714286,7.828571428571428,1.0142857142857142,0.5684285714285714,0.4588883170649081,7,-0.11528571428571421
STU_0001,10,70.88571428571429,5.041428571428571,7.8428571428571425,1.0,0.5004285714285714,0.5039598496611082,7,-0.06799999999999995
STU_0001,11,74.45714285714287,4.667142857142857,8.271428571428572,1.0,0.5377142857142857,0.4555889865900246,7,0.037285714285714255
STU_0001,12,65.42857142857143,3.6042857142857145,9.785714285714286,1.0,0.6535714285714286,0.38227829620813664,7,0.11585714285714288
STU_0001,13,61.92857142857143,5.188571428571429,8.428571428571429,1.0,0.5224285714285715,0.40708290440303063,7,-0.13114285714285712
STU_0001,14,72.41428571428571,3.3971428571428572,9.842857142857143,1.0285714285714287,0.7122857142857143,0.43421796677405794,7,0.18985714285714284
STU_0001,15,77.62857142857142,3.3628571428571425,9.842857142857143,1.0,0.6745714285714286,0.4371690685336088,7,-0.0377142857142857
STU_0001,16,65.0,3.4514285714285715,9.757142857142856,1.0,0.6792857142857143,0.4396872524874257,7,0.004714285714285671
STU_0001,17,64.92857142857143,4.731428571428571,8.414285714285715,1.0,0.4882857142857143,0.4441367510800763,7,-0.19099999999999995
STU_0001,18,72.2,4.32,8.6,1.0,0.475,0.3662045969812477,1,-0.013285714285714345
STU_0002,1,53.800000000000004,6.357142857142857,5.2,3.914285714285714,0.32157142857142856,0.47226601848803057,7,
STU_0002,2,55.357142857142854,6.042857142857143,5.614285714285714,4.442857142857143,0.34299999999999997,0.5185218627898212,7,0.021428571428571408
STU_0002,3,74.91428571428571,5.636428571428572,7.557142857142857,3.7714285714285714,0.48214285714285715,0.5093716279163223,7,0.13914285714285718
STU_0002,4,49.08571428571429,6.532857142857144,4.414285714285714,4.5285714285714285,0.33285714285714285,0.4986236509423387,7,-0.1492857142857143
STU_0002,5,39.07142857142857,6.652142857142857,4.614285714285714,4.085714285714285,0.29071428571428576,0.42105977827663293,7,-0.04214285714285709
STU_0002,6,45.17142857142857,6.38,4.5,4.071428571428571,0.3031428571428571,0.4567428303959227,7,0.012428571428571344
STU_0002,7,60.457142857142856,4.951428571428571,7.814285714285715,2.7714285714285714,0.5104285714285715,0.4821368221616313,7,0.20728571428571435
STU_0002,8,61.228571428571435,5.1450000000000005,6.714285714285714,3.3857142857142857,0.4848571428571429,0.3753220090396373,7,-0.02557142857142858
STU_0002,9,50.300000000000004,5.951428571428571,6.114285714285714,4.057142857142857,0.3658571428571428,0.47938280096700703,7,-0.11900000000000005
STU_0002,10,48.285714285714285,6.381428571428572,4.928571428571429,4.514285714285714,0.32771428571428574,0.4861919384961431,7,-0.03814285714285709
STU_0002,11,50.714285714285715,6.017142857142858,5.6571428571428575,3.442857142857143,0.3727142857142857,0.5335647931680045,7,0.044999999999999984
STU_0002,12,56.31428571428571,6.002142857142857,6.528571428571429,3.942857142857143,0.4081428571428572,0.42083932814161873,7,0.035428571428571476
STU_0002,13,54.285714285714285,6.6049999999999995,5.7,4.114285714285715,0.359,0.4060789567627411,7,-0.04914285714285721
STU_0002,14,62.542857142857144,5.067857142857143,7.742857142857143,3.585714285714286,0.49614285714285716,0.3822507205513596,7,0.13714285714285718
STU_0002,15,62.271428571428565,5.300714285714286,7.685714285714285,3.057142857142857,0.5271428571428571,0.42759204620135904,7,0.030999999999999972
STU_0002,16,68.01428571428572,5.043571428571428,7.314285714285715,2.314285714285714,0.49957142857142856,0.5046488163006068,7,-0.02757142857142858
STU_0002,17,53.88571428571429,6.105714285714286,4.571428571428571,4.242857142857143,0.33971428571428575,0.5247782211555603,7,-0.1598571428571428
