user_id,week_num,weekly_completions,weekly_completion_rate,avg_streak,max_streak,total_xp,avg_xp_efficiency,avg_self_rating,habit_diversity,weekend_habits,has_accountability_rate,habits_logged,student_id,weekly_avg_focus,weekly_avg_sleep,weekly_avg_stress,weekly_avg_mood,weekly_burnout,weekly_goal_rate,days_logged,burnout_trend,age,user_level
USR_00001,13,0,0.0,14.0,14.0,0.0,0.0,4.0,1,0,0.0,1,STU_0467,41.699999999999996,6.824285714285714,4.971428571428571,3.5928571428571425,0.29557142857142854,0.44768496712672723,7,-0.2007142857142858,33.0,3
USR_00030,1,1,1.0,44.0,44.0,19.37,0.9685,7.0,1,0,0.0,1,STU_0437,28.185714285714287,5.535714285714286,6.242857142857143,1.5999999999999999,0.392,0.37799391172894825,7,,27.0,8
USR_00030,10,1,1.0,101.0,101.0,9.68,0.968,6.0,1,1,1.0,1,STU_0437,25.25714285714286,6.163571428571428,7.042857142857143,1.157142857142857,0.3987142857142857,0.40660179354068576,7,0.010714285714285676,27.0,8
USR_00030,12,1,0.5,18.0,20.0,17.98,0.5,5.5,2,0,0.0,2,STU_0437,35.457142857142856,4.105714285714286,9.085714285714285,1.0571428571428572,0.55,0.37075241105727186,7,0.1665714285714286,27.0,8
USR_00030,17,1,1.0,99.0,99.0,18.96,0.9480000000000001,6.0,1,0,0.0,1,STU_0437,30.914285714285715,5.554285714285714,6.742857142857143,1.5999999999999999,0.3965714285714285,0.4145285943768135,7,-0.1620000000000001,27.0,8
USR_00031,4,2,1.0,5.0,6.0,49.81,0.896,8.5,2,2,0.0,2,STU_0295,49.48571428571428,6.5128571428571425,5.028571428571429,4.45,0.3055714285714286,0.3740819210304559,7,-0.22342857142857142,19.0,31
USR_00031,9,0,0.0,24.0,24.0,0.0,0.0,4.0,1,0,0.0,1,STU_0295,45.25714285714286,6.28,5.442857142857143,4.014285714285714,0.32257142857142856,0.416823161433958,7,-0.22300000000000003,19.0,31
USR_00031,11,1,0.5,16.5,29.0,6.87,0.3435,4.5,2,0,0.5,2,STU_0295,45.971428571428575,6.998571428571429,5.557142857142857,3.9499999999999997,0.35414285714285715,0.5492420455295812,7,-0.0118571428571429,19.0,31
USR_00031,13,1,1.0,5.0,5.0,17.44,0.8720000000000001,6.0,1,0,0.0,1,STU_0295,43.142857142857146,6.927142857142856,5.228571428571429,4.242857142857143,0.2937142857142857,0.4235797896401325,7,-0.1352857142857143,19.0,31
USR_00033,1,1,1.0,11.0,11.0,16.95,0.8474999999999999,2.0,1,0,0.0,1,STU_0274,53.285714285714285,6.886428571428572,4.957142857142857,3.935714285714286,0.31471428571428567,0.4811860830633608,7,,28.0,21
