ds,yhat,yhat_lower,yhat_upper,trend,weekly,student_id,is_forecast,is_peak,yhat_pct,yhat_lower_pct,yhat_upper_pct,risk_flag
2023-09-01,0.27638836258761107,0.271218114708574,0.28140187964841984,0.2767905129784827,-0.00040215039087160813,AGGREGATE,0,0,27.6,27.1,28.1,low
2023-09-02,0.27590701853659183,0.2706629191376937,0.2810476454812036,0.27677163845707037,-0.0008646199204785482,AGGREGATE,0,0,27.6,27.1,28.1,low
2023-09-03,0.27571119923204007,0.27040678151944714,0.2807596150629518,0.2767527639356581,-0.0010415647036180497,AGGREGATE,0,0,27.6,27.0,28.1,low
2023-09-04,0.2776812997393436,0.27259640770680627,0.28285567726124355,0.2767338894142458,0.0009474103250977453,AGGREGATE,0,0,27.8,27.3,28.3,low
2023-09-05,0.2773991665217674,0.272230786171841,0.2825267903891067,0.27671501489283357,0.0006841516289338262,AGGREGATE,0,0,27.7,27.2,28.3,low
2023-09-06,0.27702158973589114,0.2722311425078018,0.28174614679576265,0.27669614037566215,0.0003254493602290077,AGGREGATE,0,0,27.7,27.2,28.2,low
2023-09-07,0.2770285895592015,0.27185265785289153,0.2820532567888612,0.27667726585849073,0.0003513237007107742,AGGREGATE,0,0,27.7,27.2,28.2,low
2023-09-08,0.27625624095044826,0.27124621916281755,0.2812513874317031,0.2766583913413193,-0.00040215039087103784,AGGREGATE,0,0,27.6,27.1,28.1,low
2023-09-09,0.2757748969036683,0.27035549526080055,0.2805659692913166,0.2766395168241479,-0.0008646199204795745,AGGREGATE,0,0,27.6,27.0,28.1,low
2023-09-10,0.27557907762598394,0.27057587716593706,0.2805117032210972,0.276620642329601,-0.0010415647036170462,AGGREGATE,0,0,27.6,27.1,28.1,low
2023-09-11,0.27754917816014935,0.2725996484124976,0.2829534582089334,0.2766017678350541,0.0009474103250952383,AGGREGATE,0,0,27.8,27.3,28.3,low
2023-09-12,0.2772670449694392,0.27204609570093014,0.2823534110992738,0.27658289334050723,0.0006841516289319773,AGGREGATE,0,0,27.7,27.2,28.2,low
2023-09-13,0.2768894682061886,0.27207632330353765,0.2818419953710068,0.2765640188459603,0.0003254493602282585,AGGREGATE,0,0,27.7,27.2,28.2,low
2023-09-14,0.27689646806995666,0.2717919272933699,0.28231725239657146,0.27654514436924754,0.0003513237007091157,AGGREGATE,0,0,27.7,27.2,28.2,low
2023-09-15,0.2193093688845479,0.21399864682722822,0.22419104379582813,0.2765262698925347,-0.000402150390872126,AGGREGATE,0,0,21.9,21.4,22.4,normal
2023-09-16,0.21882802487822958,0.21410826705045308,0.22370526713636152,0.27650739541582187,-0.000864619920477612,AGGREGATE,0,0,21.9,21.4,22.4,normal
2023-09-17,0.21863220561837837,0.21310918519870412,0.22378988975674838,0.2764885209391091,-0.0010415647036160426,AGGREGATE,0,0,21.9,21.3,22.4,normal
2023-09-18,0.22060230617322044,0.21574968501137418,0.2257079978849228,0.2764696464652405,0.0009474103250945804,AGGREGATE,0,0,22.1,21.6,22.6,normal
2023-09-19,0.2203201730031912,0.2153989606141813,0.22552057012871693,0.27645077199137197,0.0006841516289339034,AGGREGATE,0,0,22.0,21.5,22.6,normal
2023-09-20,0.2199425962606185,0.214876576603227,0.22511243341257278,0.2764318975175034,0.0003254493602297612,AGGREGATE,0,0,22.0,21.5,22.5,normal
2023-09-21,0.21994959612722975,0.21460582751063942,0.22511421607036833,0.2764130230436348,0.0003513237007096274,AGGREGATE,0,0,22.0,21.5,22.5,normal
2023-09-22,0.2759919981783662,0.2706476325829538,0.28060914619514254,0.27639414856923555,-0.00040215039086930024,AGGREGATE,0,0,27.6,27.1,28.1,low
2023-09-23,0.2755106541743576,0.2705471497276501,0.2806236075823958,0.27637527409483625,-0.0008646199204786383,AGGREGATE,0,0,27.6,27.1,28.1,low
2023-09-24,0.27531483491682196,0.2700160353228934,0.2804580816343727,0.276356399620437,-0.001041564703615039,AGGREGATE,0,0,27.5,27.0,28.0,low
2023-09-25,0.2772849354711339,0.2724491372367847,0.2824090373575284,0.2763375251460377,0.0009474103250962213,AGGREGATE,0,0,27.7,27.2,28.2,low
2023-09-26,0.2770082242751386,0.27202060206469486,0.28195875653051855,0.27632407264620656,0.0006841516289320543,AGGREGATE,0,0,27.7,27.2,28.2,low
2023-09-27,0.27663606950660574,0.27118381988715184,0.2816283850511695,0.2763106201463754,0.0003254493602303151,AGGREGATE,0,0,27.7,27.1,28.2,low
2023-09-28,0.2766484913472544,0.27165947705809307,0.2815229742974154,0.2762971676465443,0.00035132370071013907,AGGREGATE,0,0,27.7,27.2,28.2,low
2023-09-29,0.2758815647558411,0.27101325696795714,0.28056102732515725,0.2762837151467131,-0.0004021503908720471,AGGREGATE,0,0,27.6,27.1,28.1,low
2023-09-30,0.27541487514611357,0.27013795316997624,0.28027147559194787,0.2762794950665916,-0.0008646199204780272,AGGREGATE,0,0,27.5,27.0,28.0,low
2023-10-01,0.2752337102828559,0.27033693775646,0.28054467808818945,0.27627527498647014,-0.0010415647036142194,AGGREGATE,0,0,27.5,27.0,28.1,low
2023-10-02,0.27721846523144533,0.2720075235068843,0.28240843470406674,0.2762710549063486,0.0009474103250967128,AGGREGATE,0,0,27.7,27.2,28.2,low
2023-10-03,0.27695098645515737,0.27206761929442447,0.28200148249173995,0.27626683482622716,0.0006841516289302054,AGGREGATE,0,0,27.7,27.2,28.2,low
2023-10-04,0.27658993718244806,0.271467054117946,0.2815172893027316,0.27626448782221624,0.0003254493602318177,AGGREGATE,0,0,27.7,27.1,28.2,low
2023-10-05,0.276613464518916,0.271550860438945,0.2817080571942275,0.2762621408182053,0.0003513237007106507,AGGREGATE,0,0,27.7,27.2,28.2,low
2023-10-06,0.275857643423323,0.27067682494994977,0.2807274626137403,0.27625979381419447,-0.0004021503908714768,AGGREGATE,0,0,27.6,27.1,28.1,low
2023-10-07,0.2753928268897045,0.27021771617191853,0.280789606831202,0.27625744681018355,-0.0008646199204790538,AGGREGATE,0,0,27.5,27.0,28.1,low
2023-10-08,0.2752135351347558,0.269621948894942,0.28021943931579113,0.2762550998383743,-0.0010415647036185122,AGGREGATE,0,0,27.5,27.0,28.0,low
2023-10-09,0.27720016319165813,0.2727878319509378,0.2822636839422015,0.2762527528665651,0.0009474103250930564,AGGREGATE,0,0,27.7,27.3,28.2,low
2023-10-10,0.276934557523688,0.2720179271316194,0.28212309041721195,0.27625040589475586,0.0006841516289321316,AGGREGATE,0,0,27.7,27.2,28.2,low
2023-10-11,0.27657350828317545,0.2713879741613388,0.2815123485129558,0.2762480589229466,0.00032544936022881667,AGGREGATE,0,0,27.7,27.1,28.2,low
2023-10-12,0.27659849306141904,0.2715527636352858,0.2820826224527466,0.27624716936071003,0.0003513237007089922,AGGREGATE,0,0,27.7,27.2,28.2,low
2023-10-13,0.21902937879049006,0.21395037161219554,0.22423328881184734,0.2762462797984734,-0.000402150390868651,AGGREGATE,0,0,21.9,21.4,22.4,normal
