ds,yhat,yhat_lower,yhat_upper,trend,student_id,burnout_label,is_forecast,is_peak,yhat_pct,yhat_lower_pct,yhat_upper_pct,personal_mean_pct,risk_flag
2023-09-01,0.3920519215316951,0.318766665882009,0.45887377400939167,0.3752356704195,STU_0263,Low Burnout,0,0,39.2,31.9,45.9,35.4,peak
2023-09-02,0.3654086202481677,0.291524596660934,0.43645480748547505,0.37481004069387724,STU_0263,Low Burnout,0,0,36.5,29.2,43.6,35.4,normal
2023-09-03,0.3815005076889924,0.31240348605463775,0.45057597053119564,0.3743844109682544,STU_0263,Low Burnout,0,0,38.2,31.2,45.1,35.4,normal
2023-09-04,0.3752817210259771,0.30444248041346245,0.4397687085731004,0.37395878124263165,STU_0263,Low Burnout,0,0,37.5,30.4,44.0,35.4,normal
2023-09-05,0.3745756955915048,0.3039589161685932,0.44055730916498104,0.3735331515170089,STU_0263,Low Burnout,0,0,37.5,30.4,44.1,35.4,normal
2023-09-06,0.36774729772905884,0.29174111723447244,0.4367515501419854,0.37310752179271006,STU_0263,Low Burnout,0,0,36.8,29.2,43.7,35.4,normal
2023-09-07,0.36114570488700026,0.29569191176742965,0.4315041436360303,0.3726818920684112,STU_0263,Low Burnout,0,0,36.1,29.6,43.2,35.4,normal
2023-09-08,0.38907251345629507,0.3177839465219472,0.4556116685670702,0.3722562623441124,STU_0263,Low Burnout,0,0,38.9,31.8,45.6,35.4,peak
2023-09-09,0.36242921219206486,0.29291511099387535,0.4335833618513561,0.37183063263779337,STU_0263,Low Burnout,0,0,36.2,29.3,43.4,35.4,normal
2023-09-10,0.3785210996522053,0.3107513960857411,0.4505744473715192,0.3714050029314743,STU_0263,Low Burnout,0,0,37.9,31.1,45.1,35.4,normal
2023-09-11,0.3723023130084336,0.2961637779427574,0.4448441356526487,0.3709793732251553,STU_0263,Low Burnout,0,0,37.2,29.6,44.5,35.4,normal
2023-09-12,0.3715962875933825,0.30677469597911794,0.44057890686848106,0.3705537435188362,STU_0263,Low Burnout,0,0,37.2,30.7,44.1,35.4,normal
2023-09-13,0.36476788974849195,0.2983203081218961,0.4290073445016177,0.3701281138121299,STU_0263,Low Burnout,0,0,36.5,29.8,42.9,35.4,normal
2023-09-14,0.35816629692406027,0.28284031134166776,0.4247853196858532,0.36970248410542356,STU_0263,Low Burnout,0,0,35.8,28.3,42.5,35.4,normal
2023-09-15,0.38609310551090525,0.3114105731917698,0.4580334950281238,0.36927685439871727,STU_0263,Low Burnout,0,0,38.6,31.1,45.8,35.4,peak
2023-09-16,0.3594499662384392,0.28641837483597893,0.42932803730306307,0.3688513866841364,STU_0263,Low Burnout,0,0,35.9,28.6,42.9,35.4,normal
2023-09-17,0.37554201569027956,0.3066242863825173,0.4415403074957634,0.36842591896955557,STU_0263,Low Burnout,0,0,37.6,30.7,44.2,35.4,normal
2023-09-18,0.3693233910383413,0.29796742498964207,0.43903671015520185,0.36800045125497466,STU_0263,Low Burnout,0,0,36.9,29.8,43.9,35.4,normal
2023-09-19,0.36861752761483574,0.2969712145540482,0.44563492009443045,0.3675749835403939,STU_0263,Low Burnout,0,0,36.9,29.7,44.6,35.4,normal
2023-09-20,0.36178929176639707,0.2979763231973414,0.4369081138027275,0.36714951583009175,STU_0263,Low Burnout,0,0,36.2,29.8,43.7,35.4,normal
2023-09-21,0.35518786093842525,0.28318251649448223,0.42124534060840957,0.36672404811978965,STU_0263,Low Burnout,0,0,35.5,28.3,42.1,35.4,normal
2023-09-22,0.3831148315216737,0.31204465016369165,0.4568290813874776,0.3662985804094875,STU_0263,Low Burnout,0,0,38.3,31.2,45.7,35.4,peak
2023-09-23,0.3564716923233251,0.28715642687263443,0.42457653559899255,0.3658731127690412,STU_0263,Low Burnout,0,0,35.6,28.7,42.5,35.4,normal
2023-09-24,0.37256374184931196,0.30838497333383696,0.4464232965474081,0.36544764512859496,STU_0263,Low Burnout,0,0,37.3,30.8,44.6,35.4,normal
2023-09-25,0.3663451172714647,0.30005218994690736,0.43668383342220174,0.36502217748814875,STU_0263,Low Burnout,0,0,36.6,30.0,43.7,35.4,normal
2023-09-26,0.36563925392219476,0.29733872694997115,0.4343404176507936,0.36459670984770254,STU_0263,Low Burnout,0,0,36.6,29.7,43.4,35.4,normal
2023-09-27,0.35881101814806315,0.29189525682641654,0.4252339691580351,0.3641712422117299,STU_0263,Low Burnout,0,0,35.9,29.2,42.5,35.4,normal
2023-09-28,0.3522095873943918,0.2857383773617708,0.41814746166642863,0.3637457745757573,STU_0263,Low Burnout,0,0,35.2,28.6,41.8,35.4,normal
2023-09-29,0.38013655805199403,0.31326131728463275,0.44869889384259376,0.3633203069397847,STU_0263,Low Burnout,0,0,38.0,31.3,44.9,35.4,normal
2023-09-30,0.3534934210191482,0.28357455136064813,0.4243476450837492,0.36289484146485,STU_0263,Low Burnout,0,0,35.3,28.4,42.4,35.4,normal
2023-10-01,0.36958547271067316,0.29282698798866386,0.4426591473994215,0.36246937598991535,STU_0263,Low Burnout,0,0,37.0,29.3,44.3,35.4,normal
2023-10-02,0.3633668502983154,0.2874292422820533,0.43152396822013056,0.36204391051498064,STU_0263,Low Burnout,0,0,36.3,28.7,43.2,35.4,normal
2023-10-03,0.36266098911458855,0.28774376924588135,0.42824020426264425,0.361618445040046,STU_0263,Low Burnout,0,0,36.3,28.8,42.8,35.4,normal
2023-10-04,0.3558327555572546,0.2888478730527432,0.4337464680290644,0.36119297962097807,STU_0263,Low Burnout,0,0,35.6,28.9,43.4,35.4,normal
2023-10-05,0.3492313270205435,0.2785691557224628,0.4119049625217248,0.3607675142019101,STU_0263,Low Burnout,0,0,34.9,27.9,41.2,35.4,normal
2023-10-06,0.37715829989503913,0.31281472470915683,0.45266124313162304,0.3603420487828422,STU_0263,Low Burnout,0,0,37.7,31.3,45.3,35.4,normal
2023-10-07,0.3505151629180535,0.27910282871478514,0.4197832982046945,0.3599165833637743,STU_0263,Low Burnout,0,0,35.1,27.9,42.0,35.4,normal
2023-10-08,0.3666072145754494,0.29523884527830285,0.4351633200824867,0.35949111785472004,STU_0263,Low Burnout,0,0,36.7,29.5,43.5,35.4,normal
2023-10-09,0.36038859212900287,0.2902853656369668,0.4268788329976466,0.35906565234566584,STU_0263,Low Burnout,0,0,36.0,29.0,42.7,35.4,normal
2023-10-10,0.3596827309110497,0.2927204692608063,0.4323352112397774,0.3586401868366116,STU_0263,Low Burnout,0,0,36.0,29.3,43.2,35.4,normal
2023-10-11,0.3528545037025072,0.2833998111724901,0.4306525479365429,0.35821472776614743,STU_0263,Low Burnout,0,0,35.3,28.3,43.1,35.4,normal
2023-10-12,0.3462530815143643,0.274867446930197,0.4185924890957783,0.3577892686956833,STU_0263,Low Burnout,0,0,34.6,27.5,41.9,35.4,normal
2023-10-13,0.3741800607374142,0.3021099968424783,0.44263468740871553,0.3573638096252191,STU_0263,Low Burnout,0,0,37.4,30.2,44.3,35.4,normal
2023-10-14,0.3475369301090152,0.28099190603925017,0.41604504035613776,0.356938350554755,STU_0263,Low Burnout,0,0,34.8,28.1,41.6,35.4,normal
2023-10-15,0.3636490958660801,0.29247294594128276,0.432773115672901,0.3565329991453099,STU_0263,Low Burnout,0,0,36.4,29.2,43.3,35.4,normal
2023-10-16,0.3574505875192207,0.28294409244652846,0.4239289100510689,0.35612764773586486,STU_0263,Low Burnout,0,0,35.7,28.3,42.4,35.4,normal
2023-10-17,0.35676484040090833,0.28787178630612603,0.4302362238751893,0.35572229632641983,STU_0263,Low Burnout,0,0,35.7,28.8,43.0,35.4,normal
2023-10-18,0.35001036550090286,0.2730462890161739,0.4153775233719867,0.35537058956459977,STU_0263,Low Burnout,0,0,35.0,27.3,41.5,35.4,normal
2023-10-19,0.34348269562135586,0.26706470625184214,0.41758094519187666,0.3550188828027797,STU_0263,Low Burnout,0,0,34.3,26.7,41.8,35.4,normal
2023-10-20,0.3714834271531424,0.29774621694633585,0.43668279204556176,0.3546671760409597,STU_0263,Low Burnout,0,0,37.1,29.8,43.7,35.4,normal
2023-10-21,0.34491404883341426,0.2787497029101126,0.4209262955313836,0.35431546927913965,STU_0263,Low Burnout,0,0,34.5,27.9,42.1,35.4,normal
2023-10-22,0.3611231028754698,0.29191900080639177,0.4304115914123615,0.3540070061547544,STU_0263,Low Burnout,0,0,36.1,29.2,43.0,35.4,normal
2023-10-23,0.35502148281374385,0.2868956308551361,0.42134253738561206,0.3536985430303692,STU_0263,Low Burnout,0,0,35.5,28.7,42.1,35.4,normal
2023-10-24,0.35443262398049724,0.28024138194567816,0.42493361601227353,0.3533900799059839,STU_0263,Low Burnout,0,0,35.4,28.0,42.5,35.4,normal
2023-10-25,0.34772140701729204,0.27617600419859517,0.4228793177335227,0.3530816310810457,STU_0263,Low Burnout,0,0,34.8,27.6,42.3,35.4,normal
2023-10-26,0.34123699507473115,0.27268049851134335,0.4177735795133023,0.3527731822561074,STU_0263,Low Burnout,0,0,34.1,27.3,41.8,35.4,normal
2023-10-27,0.3692809845433571,0.2999843665483373,0.4430001097617529,0.3524647334311691,STU_0263,Low Burnout,0,0,36.9,30.0,44.3,35.4,normal
2023-10-28,0.3427548641604864,0.2757311271129511,0.4116072522840371,0.3521562846062308,STU_0263,Low Burnout,0,0,34.3,27.6,41.2,35.4,normal
2023-10-29,0.35896393250807784,0.2907877883237454,0.4247205557961209,0.3518478357873216,STU_0263,Low Burnout,0,0,35.9,29.1,42.5,35.4,normal
2023-10-30,0.3528623267518059,0.2782095357679216,0.42148950618757836,0.3515393869684124,STU_0263,Low Burnout,0,0,35.3,27.8,42.1,35.4,normal
2023-10-31,0.352273482224067,0.28418778981466297,0.42339942422111276,0.3512309381495033,STU_0263,Low Burnout,0,0,35.2,28.4,42.3,35.4,normal
